,Date,Цена,Откр.,Макс.,Мин.,Объём,Изм. %,Company
0,2024-12-24,264.34,264.94,266.62,261.03,"83,81M",-0.21,sber
0,2024-12-24,1901.0,2019.0,2011.4,1891.0,"1,08M",-5.73,positiv
0,2024-12-24,6833.0,6919.0,6959.5,6825.0,"724,13K",-1.24,lukoil
0,2024-12-24,4945.5,4984.5,4984.5,4872.5,"504,40K",-0.77,magnit
0,2024-12-24,133.66,135.0,136.1,131.46,"9,97M",-0.33,nlmk
1,2024-12-23,264.9,260.0,270.0,256.51,"163,17M",2.83,sber
1,2024-12-23,2016.6,2019.0,2156.6,1989.0,"853,73K",-2.49,positiv
1,2024-12-23,4984.0,4991.5,5081.0,4926.0,"753,38K",1.27,magnit
1,2024-12-23,6919.0,6787.0,6980.0,6761.0,"1,04M",2.88,lukoil
1,2024-12-23,134.1,137.1,140.0,130.66,"22,59M",-1.53,nlmk
2,2024-12-20,136.18,120.02,136.74,118.66,"34,18M",13.46,nlmk
2,2024-12-20,2068.0,1885.0,2126.0,1878.4,"700,74K",9.34,positiv
2,2024-12-20,257.6,229.1,258.98,228.03,"235,19M",12.49,sber
2,2024-12-20,6725.0,6294.0,6804.0,6280.0,"2,16M",6.85,lukoil
2,2024-12-20,4921.5,4398.0,4923.0,4376.0,"1,08M",11.46,magnit
3,2024-12-19,120.02,117.1,120.48,116.76,"13,68M",2.63,nlmk
3,2024-12-19,4415.5,4452.0,4521.5,4407.0,"451,74K",-0.38,magnit
3,2024-12-19,1891.4,1881.0,1905.0,1843.0,"383,81K",-0.34,positiv
3,2024-12-19,229.0,230.16,234.99,227.71,"124,06M",-0.5,sber
3,2024-12-19,6294.0,6379.5,6492.0,6263.0,"1,86M",-1.27,lukoil
4,2024-12-18,4432.5,4350.0,4466.5,4301.0,"398,91K",2.13,magnit
4,2024-12-18,1897.8,1923.0,1930.0,1853.6,"400,66K",-1.05,positiv
4,2024-12-18,116.94,115.1,117.98,114.46,"8,28M",1.78,nlmk
4,2024-12-18,6375.0,6297.0,6395.0,6238.0,"729,99K",1.34,lukoil
4,2024-12-18,230.15,226.72,230.8,224.33,"58,06M",1.61,sber
5,2024-12-17,6290.5,6330.0,6398.0,6256.0,"1,47M",-7.21,lukoil
5,2024-12-17,226.5,225.6,227.49,223.72,"45,89M",0.43,sber
5,2024-12-17,4340.0,4308.5,4388.0,4255.5,"306,67K",0.73,magnit
5,2024-12-17,1918.0,1890.0,1935.0,1875.2,"355,09K",0.96,positiv
5,2024-12-17,114.9,114.8,117.0,113.2,"12,91M",-0.12,nlmk
6,2024-12-16,1899.8,1991.0,2003.8,1882.6,"503,51K",-5.23,positiv
6,2024-12-16,115.04,116.74,117.12,113.64,"12,50M",-1.69,nlmk
6,2024-12-16,6779.5,6770.0,6787.5,6685.5,"1,12M",-0.3,lukoil
6,2024-12-16,225.53,228.62,229.05,224.38,"54,59M",-1.39,sber
6,2024-12-16,4308.5,4400.5,4407.5,4300.0,"283,43K",-2.32,magnit
7,2024-12-13,6800.0,6868.5,6884.5,6750.0,"652,62K",-0.91,lukoil
7,2024-12-13,228.7,228.9,231.33,227.85,"46,12M",-0.14,sber
7,2024-12-13,2004.6,1975.0,2025.6,1974.4,"219,99K",0.84,positiv
7,2024-12-13,4411.0,4437.0,4468.0,4405.0,"196,01K",-0.72,magnit
7,2024-12-13,117.02,115.8,118.14,115.32,"10,96M",0.84,nlmk
8,2024-12-12,229.02,234.0,235.95,228.52,"59,17M",-2.21,sber
8,2024-12-12,4443.0,4533.0,4564.0,4435.0,"227,00K",-1.9,magnit
8,2024-12-12,1988.0,2029.0,2069.6,1965.6,"559,66K",-2.26,positiv
8,2024-12-12,6862.5,6898.0,6959.5,6862.0,"686,97K",-0.48,lukoil
8,2024-12-12,116.04,120.06,120.66,116.0,"11,22M",-3.3,nlmk
9,2024-12-11,4529.0,4500.0,4538.0,4454.0,"224,01K",0.17,magnit
9,2024-12-11,120.0,119.62,120.7,117.8,"9,59M",0.52,nlmk
9,2024-12-11,6895.5,6894.0,6914.0,6821.0,"699,08K",0.02,lukoil
9,2024-12-11,2034.0,1970.0,2036.0,1951.2,"388,41K",2.97,positiv
9,2024-12-11,234.19,230.5,234.39,229.22,"64,91M",1.46,sber
10,2024-12-10,1975.4,1997.0,2001.2,1963.6,"310,44K",-1.31,positiv
10,2024-12-10,4521.5,4610.0,4619.5,4503.0,"219,16K",-1.65,magnit
10,2024-12-10,230.82,238.0,238.01,230.65,"58,74M",-2.73,sber
10,2024-12-10,6894.0,6995.5,6995.5,6880.0,"693,19K",-1.13,lukoil
10,2024-12-10,119.38,123.6,123.96,118.86,"11,83M",-3.26,nlmk
11,2024-12-09,2001.6,1929.6,2018.8,1916.8,"742,67K",5.1,positiv
11,2024-12-09,6973.0,6877.0,6997.0,6844.0,"715,06K",1.65,lukoil
11,2024-12-09,123.4,121.1,124.1,121.0,"8,06M",2.15,nlmk
11,2024-12-09,4597.5,4623.0,4634.5,4570.0,"226,69K",0.47,magnit
11,2024-12-09,237.29,239.29,240.51,236.75,"52,49M",-0.23,sber
12,2024-12-06,6860.0,6860.0,6913.5,6800.0,"641,21K",0.28,lukoil
12,2024-12-06,1904.4,1889.0,1948.6,1856.8,"363,53K",0.91,positiv
12,2024-12-06,4576.0,4499.5,4589.5,4468.0,"325,97K",2.19,magnit
12,2024-12-06,120.8,120.86,122.1,118.4,"9,09M",0.15,nlmk
12,2024-12-06,237.84,233.63,238.25,231.52,"81,10M",1.87,sber
13,2024-12-05,1887.2,1782.6,1905.6,1770.8,"408,09K",5.34,positiv
13,2024-12-05,233.48,224.57,233.75,222.82,"86,99M",3.98,sber
13,2024-12-05,6841.0,6725.5,6861.0,6676.5,"975,76K",1.79,lukoil
13,2024-12-05,120.62,118.7,122.44,117.12,"11,72M",1.62,nlmk
13,2024-12-05,4478.0,4455.0,4523.0,4377.5,"532,90K",0.72,magnit
14,2024-12-04,224.55,231.0,233.79,224.3,"72,42M",-2.71,sber
14,2024-12-04,6720.5,6784.5,6812.0,6714.0,"956,08K",-0.75,lukoil
14,2024-12-04,118.7,121.52,123.0,118.0,"8,70M",-2.13,nlmk
14,2024-12-04,1791.6,1820.0,1843.0,1740.0,"373,24K",-0.99,positiv
14,2024-12-04,4446.0,4560.0,4590.0,4433.5,"453,06K",-2.49,magnit
15,2024-12-03,4559.5,4638.0,4674.0,4497.0,"645,61K",-1.5,magnit
15,2024-12-03,6771.0,6812.0,6823.0,6713.5,"839,25K",-0.57,lukoil
15,2024-12-03,1809.6,1927.0,1935.8,1782.6,"495,00K",-6.19,positiv
15,2024-12-03,121.28,124.92,124.92,120.2,"7,58M",-2.73,nlmk
15,2024-12-03,230.8,235.29,235.97,230.26,"45,32M",-1.86,sber
16,2024-12-02,4629.0,4555.0,4694.0,4540.5,"718,75K",2.2,magnit
16,2024-12-02,124.68,124.88,127.38,123.82,"7,01M",0.1,nlmk
16,2024-12-02,235.17,237.02,238.7,234.32,"45,14M",-0.56,sber
16,2024-12-02,6810.0,6880.0,6880.0,6799.0,"1,39M",-0.74,lukoil
16,2024-12-02,1929.0,1882.0,1950.0,1881.2,"180,76K",2.58,positiv
17,2024-11-29,236.49,228.48,236.99,227.55,"70,30M",3.47,sber
17,2024-11-29,6860.5,6905.0,6910.0,6832.0,"1,30M",-0.65,lukoil
17,2024-11-29,4529.5,4245.5,4550.0,4221.5,"1,54M",6.24,magnit
17,2024-11-29,1880.4,1896.2,1934.0,1854.2,"144,15K",-0.83,positiv
17,2024-11-29,124.56,124.0,127.0,122.56,"7,90M",0.45,nlmk
18,2024-11-28,1896.2,1886.8,1928.0,1820.0,"286,81K",1.63,positiv
18,2024-11-28,6905.5,6943.5,6943.5,6818.0,"1,24M",0.13,lukoil
18,2024-11-28,124.0,124.28,127.88,122.34,"18,10M",0.1,nlmk
18,2024-11-28,228.56,227.0,229.5,222.48,"67,84M",1.0,sber
18,2024-11-28,4263.5,4244.0,4324.5,4130.5,"481,82K",1.2,magnit
19,2024-11-27,4213.0,4170.0,4238.5,4008.0,"631,26K",1.52,magnit
19,2024-11-27,226.3,223.9,226.47,219.2,"112,46M",1.41,sber
19,2024-11-27,123.88,119.0,123.9,115.82,"18,07M",4.21,nlmk
19,2024-11-27,6896.5,6870.0,6916.5,6770.0,"1,48M",0.39,lukoil
19,2024-11-27,1865.8,1817.0,1890.0,1721.0,"675,19K",2.69,positiv
20,2024-11-26,118.88,119.0,121.0,117.28,"12,04M",-0.23,nlmk
20,2024-11-26,4150.0,4310.5,4385.0,4062.0,"708,86K",-4.16,magnit
20,2024-11-26,6869.5,6870.5,6930.0,6820.5,"986,15K",-0.25,lukoil
20,2024-11-26,1817.0,1915.0,1942.2,1767.6,"652,15K",-5.69,positiv
20,2024-11-26,223.16,227.8,231.9,221.2,"96,80M",-2.04,sber
21,2024-11-25,1926.6,2012.8,2012.8,1910.2,"224,21K",-4.28,positiv
21,2024-11-25,227.81,236.0,237.1,227.25,"76,47M",-3.47,sber
21,2024-11-25,119.16,122.64,122.64,117.3,"11,12M",-2.87,nlmk
21,2024-11-25,6886.5,6946.0,6979.0,6835.5,"828,83K",-0.77,lukoil
21,2024-11-25,4330.0,4495.0,4525.0,4314.5,"337,59K",-3.65,magnit
22,2024-11-22,2012.8,2017.4,2048.6,1991.8,"117,67K",-0.22,positiv
22,2024-11-22,236.0,240.5,241.0,234.78,"45,62M",-1.86,sber
22,2024-11-22,6940.0,6941.0,6998.0,6868.0,"598,34K",0.02,lukoil
22,2024-11-22,4494.0,4608.0,4619.5,4430.0,"532,62K",-1.93,magnit
22,2024-11-22,122.68,123.18,124.42,121.06,"8,36M",-0.52,nlmk
23,2024-11-21,6938.5,6810.0,6949.0,6768.0,"1,05M",2.06,lukoil
23,2024-11-21,123.32,123.0,124.0,119.02,"12,07M",0.36,nlmk
23,2024-11-21,2017.2,2001.0,2040.2,1980.2,"347,34K",0.54,positiv
23,2024-11-21,240.47,237.15,240.94,234.0,"75,14M",1.44,sber
23,2024-11-21,4582.5,4460.5,4592.5,4297.0,"909,99K",3.58,magnit
24,2024-11-20,122.88,126.28,127.72,121.48,"9,21M",-2.68,nlmk
24,2024-11-20,6798.5,6851.0,6952.5,6776.0,"858,07K",-0.64,lukoil
24,2024-11-20,237.05,241.82,243.59,234.74,"70,35M",-1.47,sber
24,2024-11-20,4424.0,4496.0,4569.0,4401.0,"278,97K",-1.5,magnit
24,2024-11-20,2006.4,1980.2,2064.6,1980.0,"526,19K",1.32,positiv
25,2024-11-19,126.26,130.8,130.86,125.46,"10,58M",-3.28,nlmk
25,2024-11-19,4491.5,4684.0,4697.0,4472.0,"259,71K",-4.13,magnit
25,2024-11-19,6842.0,6958.0,6991.5,6810.0,"866,38K",-1.63,lukoil
25,2024-11-19,1980.2,2037.0,2054.8,1965.4,"250,40K",-3.0,positiv
25,2024-11-19,240.59,249.03,249.83,239.62,"75,47M",-3.27,sber
26,2024-11-18,4685.0,4720.0,4770.0,4684.5,"156,00K",-2.85,magnit
26,2024-11-18,248.72,249.0,251.94,247.3,"51,56M",-1.86,sber
26,2024-11-18,130.54,130.76,133.48,130.0,"9,21M",-2.63,nlmk
26,2024-11-18,6955.5,6957.0,7008.0,6874.0,"625,83K",-0.93,lukoil
26,2024-11-18,2041.4,2034.8,2070.0,2030.0,"194,62K",-1.75,positiv
27,2024-11-15,134.06,130.7,134.6,129.3,"9,20M",2.6,nlmk
27,2024-11-15,4822.5,4789.5,4847.5,4713.5,"157,87K",0.69,magnit
27,2024-11-15,2077.8,2060.0,2103.0,2031.4,"447,16K",0.91,positiv
27,2024-11-15,253.43,249.31,254.43,248.05,"44,20M",1.57,sber
27,2024-11-15,7021.0,6932.5,7037.0,6911.0,"505,41K",1.28,lukoil
28,2024-11-14,249.52,254.26,255.92,248.6,"49,01M",-2.03,sber
28,2024-11-14,4789.5,4821.5,4884.5,4742.0,"149,60K",-1.04,magnit
28,2024-11-14,130.66,129.7,132.5,129.5,"6,81M",0.35,nlmk
28,2024-11-14,6932.5,6924.5,7013.5,6900.0,"872,29K",0.11,lukoil
28,2024-11-14,2059.0,2135.0,2146.8,2045.0,"399,80K",-3.77,positiv
29,2024-11-13,254.7,255.29,258.96,254.05,"44,54M",-0.42,sber
29,2024-11-13,4840.0,4800.0,4910.0,4788.0,"186,04K",0.78,magnit
29,2024-11-13,6925.0,6990.0,7048.0,6918.0,"740,00K",-0.93,lukoil
29,2024-11-13,2139.6,2157.6,2182.0,2130.4,"197,60K",-0.77,positiv
29,2024-11-13,130.2,130.4,133.88,130.0,"8,55M",-0.6,nlmk
30,2024-11-12,255.77,259.99,260.7,255.27,"40,93M",-1.9,sber
30,2024-11-12,4802.5,4910.0,4923.0,4792.0,"207,56K",-2.33,magnit
30,2024-11-12,2156.2,2169.8,2199.0,2115.0,"238,20K",-0.91,positiv
30,2024-11-12,6990.0,7025.0,7071.5,6967.0,"691,47K",-0.46,lukoil
30,2024-11-12,130.98,134.52,135.16,130.56,"8,30M",-3.15,nlmk
31,2024-11-11,2176.0,2205.8,2224.2,2163.0,"347,80K",-1.31,positiv
31,2024-11-11,4917.0,4899.0,4924.0,4835.0,"251,44K",1.25,magnit
31,2024-11-11,135.24,131.24,135.68,131.12,"16,58M",3.38,nlmk
31,2024-11-11,260.73,257.99,261.3,256.49,"67,85M",1.86,sber
31,2024-11-11,7022.5,7205.5,7235.0,6995.0,"1,56M",-2.08,lukoil
32,2024-11-08,7172.0,7150.0,7192.0,7061.0,"958,43K",0.56,lukoil
32,2024-11-08,130.82,131.0,132.0,128.98,"13,14M",0.26,nlmk
32,2024-11-08,4856.5,4815.0,4860.0,4737.5,"319,22K",1.67,magnit
32,2024-11-08,255.98,251.5,255.99,250.5,"58,09M",2.01,sber
32,2024-11-08,2204.8,2290.0,2300.0,2160.6,"722,31K",-2.85,positiv
33,2024-11-07,130.48,127.48,132.0,125.94,"12,48M",2.35,nlmk
33,2024-11-07,7132.0,6994.0,7139.0,6950.0,"671,03K",1.94,lukoil
33,2024-11-07,2269.4,2201.0,2349.8,2103.6,"1,92M",1.31,positiv
33,2024-11-07,250.93,243.26,251.0,242.16,"44,43M",3.01,sber
33,2024-11-07,4776.5,4625.5,4781.0,4567.0,"275,10K",3.26,magnit
34,2024-11-06,243.6,247.0,248.56,242.05,"78,97M",1.83,sber
34,2024-11-06,6996.5,6999.5,7098.5,6933.5,"1,33M",1.8,lukoil
34,2024-11-06,4625.5,4565.5,4700.0,4563.0,"393,66K",2.12,magnit
34,2024-11-06,127.48,127.5,130.26,126.14,"16,40M",1.34,nlmk
34,2024-11-06,2240.0,2371.6,2406.4,2203.0,"597,35K",-4.03,positiv
35,2024-11-05,239.23,239.6,241.2,238.07,"28,17M",0.11,sber
35,2024-11-05,6873.0,6867.0,6920.0,6821.0,"512,81K",0.45,lukoil
35,2024-11-05,2334.0,2340.0,2349.6,2320.0,"65,67K",0.42,positiv
35,2024-11-05,4529.5,4552.0,4563.5,4454.0,"150,93K",0.21,magnit
35,2024-11-05,125.8,121.96,125.8,121.32,"13,00M",3.28,nlmk
36,2024-11-02,2324.2,2307.0,2339.8,2282.4,"94,21K",0.75,positiv
36,2024-11-02,121.8,120.4,122.0,120.04,"6,51M",1.33,nlmk
36,2024-11-02,238.97,237.9,240.0,237.71,"14,90M",0.39,sber
36,2024-11-02,6842.0,6839.0,6865.0,6810.0,"381,13K",-0.04,lukoil
36,2024-11-02,4520.0,4547.0,4579.0,4501.5,"109,23K",-0.21,magnit
37,2024-11-01,238.03,237.9,239.1,234.57,"48,37M",0.05,sber
37,2024-11-01,120.2,118.62,120.28,117.48,"13,78M",1.8,nlmk
37,2024-11-01,6844.5,6805.5,6850.0,6720.5,"888,73K",0.74,lukoil
37,2024-11-01,4529.5,4488.5,4561.5,4473.5,"392,86K",0.97,magnit
37,2024-11-01,2307.0,2279.8,2325.0,2267.2,"140,16K",0.9,positiv
38,2024-10-31,237.9,241.4,242.8,236.23,"57,27M",-1.47,sber
38,2024-10-31,118.08,117.2,120.3,116.72,"17,56M",0.34,nlmk
